        z       Tref      rho    expan        Cp      Tcond
 LAYER:            1
  1.000000E+00  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  9.921875E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  9.843750E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  9.765625E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  9.687500E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  9.609375E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  9.531250E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  9.453125E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  9.375000E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  9.296875E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  9.218750E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  9.140625E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  9.062500E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  8.984375E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  8.906250E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  8.828125E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  8.750000E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  8.671875E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  8.593750E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  8.515625E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  8.437500E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  8.359375E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  8.281250E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  8.203125E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  8.125000E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  8.046875E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  7.968750E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  7.890625E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  7.812500E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  7.734375E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  7.656250E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  7.578125E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  7.500000E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  7.421875E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  7.343750E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  7.265625E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  7.187500E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  7.109375E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  7.031250E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  6.953125E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  6.875000E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  6.796875E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  6.718750E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  6.640625E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  6.562500E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  6.484375E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  6.406250E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  6.328125E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  6.250000E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  6.171875E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  6.093750E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  6.015625E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  5.937500E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  5.859375E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  5.781250E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  5.703125E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  5.625000E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  5.546875E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  5.468750E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  5.390625E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  5.312500E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  5.234375E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  5.156250E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  5.078125E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  5.000000E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  4.921875E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  4.843750E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  4.765625E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  4.687500E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  4.609375E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  4.531250E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  4.453125E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  4.375000E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  4.296875E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  4.218750E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  4.140625E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  4.062500E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  3.984375E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  3.906250E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  3.828125E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  3.750000E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  3.671875E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  3.593750E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  3.515625E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  3.437500E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  3.359375E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  3.281250E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  3.203125E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  3.125000E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  3.046875E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  2.968750E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  2.890625E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  2.812500E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  2.734375E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  2.656250E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  2.578125E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  2.500000E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  2.421875E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  2.343750E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  2.265625E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  2.187500E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  2.109375E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  2.031250E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  1.953125E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  1.875000E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  1.796875E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  1.718750E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  1.640625E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  1.562500E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  1.484375E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  1.406250E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  1.328125E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  1.250000E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  1.171875E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  1.093750E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  1.015625E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  9.375000E-02  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  8.593750E-02  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  7.812500E-02  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  7.031250E-02  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  6.250000E-02  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  5.468750E-02  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  4.687500E-02  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  3.906250E-02  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  3.125000E-02  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  2.343750E-02  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  1.562500E-02  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  7.812500E-03  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
  0.000000E+00  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00
 COMBINED ADIABAT: z    T     rho     expan      Cp     tcond     P   grav
  1.000000E+00  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  0.000000E+00  1.000000E+00
  9.921875E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.041667E+03  1.000000E+00
  9.843750E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  2.083333E+03  1.000000E+00
  9.765625E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  3.125000E+03  1.000000E+00
  9.687500E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  4.166667E+03  1.000000E+00
  9.609375E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  5.208333E+03  1.000000E+00
  9.531250E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  6.250000E+03  1.000000E+00
  9.453125E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  7.291667E+03  1.000000E+00
  9.375000E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  8.333333E+03  1.000000E+00
  9.296875E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  9.375000E+03  1.000000E+00
  9.218750E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.041667E+04  1.000000E+00
